timestamp,station_code,station_name,crowd_count,congestion_level
2026-06-07 00:00:00,NDLS,New Delhi,952,low
2026-06-07 01:00:00,NDLS,New Delhi,1173,low
2026-06-07 02:00:00,NDLS,New Delhi,995,low
2026-06-07 03:00:00,NDLS,New Delhi,231,low
2026-06-07 04:00:00,NDLS,New Delhi,80,low
2026-06-07 05:00:00,NDLS,New Delhi,606,low
2026-06-07 06:00:00,NDLS,New Delhi,1862,medium
2026-06-07 07:00:00,NDLS,New Delhi,3482,high
2026-06-07 08:00:00,NDLS,New Delhi,4532,high
2026-06-07 09:00:00,NDLS,New Delhi,4151,high
2026-06-07 10:00:00,NDLS,New Delhi,2753,medium
2026-06-07 11:00:00,NDLS,New Delhi,2259,medium
2026-06-07 12:00:00,NDLS,New Delhi,2318,medium
2026-06-07 13:00:00,NDLS,New Delhi,3251,medium
2026-06-07 14:00:00,NDLS,New Delhi,2152,medium
2026-06-07 15:00:00,NDLS,New Delhi,2426,medium
2026-06-07 16:00:00,NDLS,New Delhi,1639,low
2026-06-07 17:00:00,NDLS,New Delhi,2947,medium
2026-06-07 18:00:00,NDLS,New Delhi,3416,high
2026-06-07 19:00:00,NDLS,New Delhi,3602,high
2026-06-07 20:00:00,NDLS,New Delhi,4206,high
2026-06-07 21:00:00,NDLS,New Delhi,2377,medium
2026-06-07 22:00:00,NDLS,New Delhi,1748,low
2026-06-07 23:00:00,NDLS,New Delhi,1029,low
2026-06-08 00:00:00,NDLS,New Delhi,535,low
2026-06-08 01:00:00,NDLS,New Delhi,685,low
2026-06-08 02:00:00,NDLS,New Delhi,696,low
2026-06-08 03:00:00,NDLS,New Delhi,926,low
2026-06-08 04:00:00,NDLS,New Delhi,620,low
2026-06-08 05:00:00,NDLS,New Delhi,874,low
2026-06-08 06:00:00,NDLS,New Delhi,2090,medium
2026-06-08 07:00:00,NDLS,New Delhi,4551,high
2026-06-08 08:00:00,NDLS,New Delhi,5255,high
2026-06-08 09:00:00,NDLS,New Delhi,5771,high
2026-06-08 10:00:00,NDLS,New Delhi,3124,medium
2026-06-08 11:00:00,NDLS,New Delhi,3795,high
2026-06-08 12:00:00,NDLS,New Delhi,3477,high
2026-06-08 13:00:00,NDLS,New Delhi,3277,medium
2026-06-08 14:00:00,NDLS,New Delhi,3282,medium
2026-06-08 15:00:00,NDLS,New Delhi,2688,medium
2026-06-08 16:00:00,NDLS,New Delhi,2706,medium
2026-06-08 17:00:00,NDLS,New Delhi,3640,high
2026-06-08 18:00:00,NDLS,New Delhi,4419,high
2026-06-08 19:00:00,NDLS,New Delhi,5403,high
2026-06-08 20:00:00,NDLS,New Delhi,4755,high
2026-06-08 21:00:00,NDLS,New Delhi,4161,high
2026-06-08 22:00:00,NDLS,New Delhi,3252,medium
2026-06-08 23:00:00,NDLS,New Delhi,1252,low
2026-06-09 00:00:00,NDLS,New Delhi,370,low
2026-06-09 01:00:00,NDLS,New Delhi,918,low
2026-06-09 02:00:00,NDLS,New Delhi,1050,low
2026-06-09 03:00:00,NDLS,New Delhi,682,low
2026-06-09 04:00:00,NDLS,New Delhi,782,low
2026-06-09 05:00:00,NDLS,New Delhi,1256,low
2026-06-09 06:00:00,NDLS,New Delhi,2525,medium
2026-06-09 07:00:00,NDLS,New Delhi,4654,high
2026-06-09 08:00:00,NDLS,New Delhi,4863,high
2026-06-09 09:00:00,NDLS,New Delhi,5155,high
2026-06-09 10:00:00,NDLS,New Delhi,3580,high
2026-06-09 11:00:00,NDLS,New Delhi,3287,medium
2026-06-09 12:00:00,NDLS,New Delhi,3402,high
2026-06-09 13:00:00,NDLS,New Delhi,3346,medium
2026-06-09 14:00:00,NDLS,New Delhi,2618,medium
2026-06-09 15:00:00,NDLS,New Delhi,2604,medium
2026-06-09 16:00:00,NDLS,New Delhi,2683,medium
2026-06-09 17:00:00,NDLS,New Delhi,4552,high
2026-06-09 18:00:00,NDLS,New Delhi,4886,high
2026-06-09 19:00:00,NDLS,New Delhi,5494,high
2026-06-09 20:00:00,NDLS,New Delhi,5325,high
2026-06-09 21:00:00,NDLS,New Delhi,3931,high
2026-06-09 22:00:00,NDLS,New Delhi,2289,medium
2026-06-09 23:00:00,NDLS,New Delhi,1129,low
2026-06-10 00:00:00,NDLS,New Delhi,1486,low
2026-06-10 01:00:00,NDLS,New Delhi,811,low
2026-06-10 02:00:00,NDLS,New Delhi,970,low
2026-06-10 03:00:00,NDLS,New Delhi,1014,low
2026-06-10 04:00:00,NDLS,New Delhi,1156,low
2026-06-10 05:00:00,NDLS,New Delhi,690,low
2026-06-10 06:00:00,NDLS,New Delhi,1850,medium
2026-06-10 07:00:00,NDLS,New Delhi,4377,high
2026-06-10 08:00:00,NDLS,New Delhi,5081,high
2026-06-10 09:00:00,NDLS,New Delhi,5459,high
2026-06-10 10:00:00,NDLS,New Delhi,3432,high
2026-06-10 11:00:00,NDLS,New Delhi,3449,high
2026-06-10 12:00:00,NDLS,New Delhi,3674,high
2026-06-10 13:00:00,NDLS,New Delhi,4064,high
2026-06-10 14:00:00,NDLS,New Delhi,2650,medium
2026-06-10 15:00:00,NDLS,New Delhi,2674,medium
2026-06-10 16:00:00,NDLS,New Delhi,3164,medium
2026-06-10 17:00:00,NDLS,New Delhi,4101,high
2026-06-10 18:00:00,NDLS,New Delhi,5304,high
2026-06-10 19:00:00,NDLS,New Delhi,4912,high
2026-06-10 20:00:00,NDLS,New Delhi,5183,high
2026-06-10 21:00:00,NDLS,New Delhi,4036,high
2026-06-10 22:00:00,NDLS,New Delhi,2109,medium
2026-06-10 23:00:00,NDLS,New Delhi,1043,low
2026-06-11 00:00:00,NDLS,New Delhi,928,low
2026-06-11 01:00:00,NDLS,New Delhi,1585,low
2026-06-11 02:00:00,NDLS,New Delhi,942,low
2026-06-11 03:00:00,NDLS,New Delhi,755,low
2026-06-11 04:00:00,NDLS,New Delhi,471,low
2026-06-11 05:00:00,NDLS,New Delhi,917,low
2026-06-11 06:00:00,NDLS,New Delhi,1169,low
2026-06-11 07:00:00,NDLS,New Delhi,4380,high
2026-06-11 08:00:00,NDLS,New Delhi,5056,high
2026-06-11 09:00:00,NDLS,New Delhi,4988,high
2026-06-11 10:00:00,NDLS,New Delhi,4199,high
2026-06-11 11:00:00,NDLS,New Delhi,2473,medium
2026-06-11 12:00:00,NDLS,New Delhi,3614,high
2026-06-11 13:00:00,NDLS,New Delhi,3647,high
2026-06-11 14:00:00,NDLS,New Delhi,3014,medium
2026-06-11 15:00:00,NDLS,New Delhi,2269,medium
2026-06-11 16:00:00,NDLS,New Delhi,2678,medium
2026-06-11 17:00:00,NDLS,New Delhi,3601,high
2026-06-11 18:00:00,NDLS,New Delhi,5129,high
2026-06-11 19:00:00,NDLS,New Delhi,5245,high
2026-06-11 20:00:00,NDLS,New Delhi,5234,high
2026-06-11 21:00:00,NDLS,New Delhi,3809,high
2026-06-11 22:00:00,NDLS,New Delhi,2654,medium
2026-06-11 23:00:00,NDLS,New Delhi,1357,low
2026-06-12 00:00:00,NDLS,New Delhi,922,low
2026-06-12 01:00:00,NDLS,New Delhi,785,low
2026-06-12 02:00:00,NDLS,New Delhi,134,low
2026-06-12 03:00:00,NDLS,New Delhi,482,low
2026-06-12 04:00:00,NDLS,New Delhi,900,low
2026-06-12 05:00:00,NDLS,New Delhi,448,low
2026-06-12 06:00:00,NDLS,New Delhi,1782,low
2026-06-12 07:00:00,NDLS,New Delhi,4439,high
2026-06-12 08:00:00,NDLS,New Delhi,5158,high
2026-06-12 09:00:00,NDLS,New Delhi,5496,high
2026-06-12 10:00:00,NDLS,New Delhi,3548,high
2026-06-12 11:00:00,NDLS,New Delhi,3207,medium
2026-06-12 12:00:00,NDLS,New Delhi,3663,high
2026-06-12 13:00:00,NDLS,New Delhi,2593,medium
2026-06-12 14:00:00,NDLS,New Delhi,2559,medium
2026-06-12 15:00:00,NDLS,New Delhi,2793,medium
2026-06-12 16:00:00,NDLS,New Delhi,1986,medium
2026-06-12 17:00:00,NDLS,New Delhi,4023,high
2026-06-12 18:00:00,NDLS,New Delhi,5265,high
2026-06-12 19:00:00,NDLS,New Delhi,5547,high
2026-06-12 20:00:00,NDLS,New Delhi,5320,high
2026-06-12 21:00:00,NDLS,New Delhi,4559,high
2026-06-12 22:00:00,NDLS,New Delhi,3137,medium
2026-06-12 23:00:00,NDLS,New Delhi,705,low
2026-06-13 00:00:00,NDLS,New Delhi,966,low
2026-06-13 01:00:00,NDLS,New Delhi,991,low
2026-06-13 02:00:00,NDLS,New Delhi,1080,low
2026-06-13 03:00:00,NDLS,New Delhi,841,low
2026-06-13 04:00:00,NDLS,New Delhi,1267,low
2026-06-13 05:00:00,NDLS,New Delhi,1316,low
2026-06-13 06:00:00,NDLS,New Delhi,2245,medium
2026-06-13 07:00:00,NDLS,New Delhi,6278,high
2026-06-13 08:00:00,NDLS,New Delhi,6753,high
2026-06-13 09:00:00,NDLS,New Delhi,7366,high
2026-06-13 10:00:00,NDLS,New Delhi,4744,high
2026-06-13 11:00:00,NDLS,New Delhi,4494,high
2026-06-13 12:00:00,NDLS,New Delhi,5606,high
2026-06-13 13:00:00,NDLS,New Delhi,5210,high
2026-06-13 14:00:00,NDLS,New Delhi,3854,high
2026-06-13 15:00:00,NDLS,New Delhi,3932,high
2026-06-13 16:00:00,NDLS,New Delhi,4711,high
2026-06-13 17:00:00,NDLS,New Delhi,6099,high
2026-06-13 18:00:00,NDLS,New Delhi,7328,high
2026-06-13 19:00:00,NDLS,New Delhi,7063,high
2026-06-13 20:00:00,NDLS,New Delhi,7188,high
2026-06-13 21:00:00,NDLS,New Delhi,5293,high
2026-06-13 22:00:00,NDLS,New Delhi,2943,medium
2026-06-13 23:00:00,NDLS,New Delhi,2065,medium
2026-06-14 00:00:00,NDLS,New Delhi,731,low
2026-06-14 01:00:00,NDLS,New Delhi,95,low
2026-06-14 02:00:00,NDLS,New Delhi,350,low
2026-06-14 03:00:00,NDLS,New Delhi,492,low
2026-06-14 04:00:00,NDLS,New Delhi,699,low
2026-06-14 05:00:00,NDLS,New Delhi,1204,low
2026-06-14 06:00:00,NDLS,New Delhi,1558,low
2026-06-14 07:00:00,NDLS,New Delhi,2600,medium
2026-06-14 08:00:00,NDLS,New Delhi,4115,high
2026-06-14 09:00:00,NDLS,New Delhi,3820,high
2026-06-14 10:00:00,NDLS,New Delhi,1895,medium
2026-06-14 11:00:00,NDLS,New Delhi,1701,low
2026-06-14 12:00:00,NDLS,New Delhi,2333,medium
2026-06-14 13:00:00,NDLS,New Delhi,2853,medium
2026-06-14 14:00:00,NDLS,New Delhi,1861,medium
2026-06-14 15:00:00,NDLS,New Delhi,2350,medium
2026-06-14 16:00:00,NDLS,New Delhi,2033,medium
2026-06-14 17:00:00,NDLS,New Delhi,3171,medium
2026-06-14 18:00:00,NDLS,New Delhi,4134,high
2026-06-14 19:00:00,NDLS,New Delhi,4089,high
2026-06-14 20:00:00,NDLS,New Delhi,3502,high
2026-06-14 21:00:00,NDLS,New Delhi,3605,high
2026-06-14 22:00:00,NDLS,New Delhi,1228,low
2026-06-14 23:00:00,NDLS,New Delhi,902,low
2026-06-15 00:00:00,NDLS,New Delhi,408,low
2026-06-15 01:00:00,NDLS,New Delhi,1204,low
2026-06-15 02:00:00,NDLS,New Delhi,304,low
2026-06-15 03:00:00,NDLS,New Delhi,403,low
2026-06-15 04:00:00,NDLS,New Delhi,366,low
2026-06-15 05:00:00,NDLS,New Delhi,280,low
2026-06-15 06:00:00,NDLS,New Delhi,1863,medium
2026-06-15 07:00:00,NDLS,New Delhi,4463,high
2026-06-15 08:00:00,NDLS,New Delhi,4825,high
2026-06-15 09:00:00,NDLS,New Delhi,4565,high
2026-06-15 10:00:00,NDLS,New Delhi,3262,medium
2026-06-15 11:00:00,NDLS,New Delhi,3347,medium
2026-06-15 12:00:00,NDLS,New Delhi,3873,high
2026-06-15 13:00:00,NDLS,New Delhi,3325,medium
2026-06-15 14:00:00,NDLS,New Delhi,2773,medium
2026-06-15 15:00:00,NDLS,New Delhi,3167,medium
2026-06-15 16:00:00,NDLS,New Delhi,2483,medium
2026-06-15 17:00:00,NDLS,New Delhi,4100,high
2026-06-15 18:00:00,NDLS,New Delhi,5040,high
2026-06-15 19:00:00,NDLS,New Delhi,4650,high
2026-06-15 20:00:00,NDLS,New Delhi,5128,high
2026-06-15 21:00:00,NDLS,New Delhi,4280,high
2026-06-15 22:00:00,NDLS,New Delhi,3390,high
2026-06-15 23:00:00,NDLS,New Delhi,769,low
2026-06-16 00:00:00,NDLS,New Delhi,1728,low
2026-06-16 01:00:00,NDLS,New Delhi,1794,low
2026-06-16 02:00:00,NDLS,New Delhi,1831,medium
2026-06-16 03:00:00,NDLS,New Delhi,1237,low
2026-06-16 04:00:00,NDLS,New Delhi,1507,low
2026-06-16 05:00:00,NDLS,New Delhi,1174,low
2026-06-16 06:00:00,NDLS,New Delhi,3924,high
2026-06-16 07:00:00,NDLS,New Delhi,8346,high
2026-06-16 08:00:00,NDLS,New Delhi,8550,high
